OBJECTID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY,GlobalID,LAT,LON
1070,48620,48610,MANDVI,IN,22.833333,69.35,173,63062,V,OR,N,Y,N,N,Y,N,L,M,O, ,3,L,Y,N,Y,N,Y,N,N, , , ,Y,Y, , , , ,Y,Y,Y,Y,Y,Y, , , ,Y, , , ,Y,Y, , , , ,Y,Y, , , , ,Y, , , , , , , , ,9c6ae7ee-1e00-4471-916d-9eb1f0b0f3a8,22.8333333333667,69.3500000000001
1071,48670,48610,OKHA,IN,22.466667,69.083333,173,63063,V,CN,G,Y, ,N,Y,N,L,L,L, ,3,L, , ,Y,N,Y,Y,Y, ,Y, ,Y,Y, , ,Y,Y,N,Y,Y,Y,Y,Y, , , ,Y, , , ,Y, , , , , ,Y,Y, , , , ,Y,Y,Y, , , ,C, ,S,a43540a2-6111-442c-a3e7-1a9ec803723e,22.4666666662337,69.0833333335665
1072,48690,48610,VERAVAL,IN,20.9,70.366667,173,63070,V,OR,F,N,N,N,N,N,K,H, , ,2,L,Y, ,Y,N,Y,N,N,Y,Y, ,Y,Y, , ,Y,Y,Y,Y,Y,Y, ,Y, , , ,Y, , , ,Y,Y, , , , ,Y, , , , , , ,Y, , , , ,C,S,S,f8531cfa-e8da-4347-9af6-8da787626e4a,20.8999999997003,70.3666666667334
1073,48760,48610,BHAVNAGAR,IN,21.766667,72.233333,173,63092,S,RT,G,Y,N,N,Y,N,O,J,O, ,12,M, ,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y, , ,Y,Y,Y,Y,Y,Y,Y,Y, , , ,Y, , ,N,Y,Y, , , , ,Y, ,Y, , ,Y,Y,Y,Y,Y, ,Y,C,S,S,1d3e1b2f-f585-4f4b-a471-545518495eac,21.7666666667333,72.2333333335665
1074,48840,48610,MUMBAI (BOMBAY),IN,18.966667,72.866667,173,63103,L,CT,G,Y,Y,N,Y,N,J,K,K,G,4,L,Y,Y,Y,Y,Y,Y,Y, ,Y,N,Y,Y,Y, ,Y,N,Y, ,Y,Y,Y,N, , , ,Y,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,A,S,L,dd565cd8-2cad-4069-88e5-591ebb6af6c1,18.9666666669332,72.8666666662337
1075,48845,48610,JAWAHARLAL NEHRU PORT (NHAVA SHIVA),IN,18.95,72.95,173,63103,M,OR,G,Y,Y,N,Y,N,J,H,H,H,4,L,Y,Y,Y, ,Y,Y,Y, ,Y,N,Y,Y,Y, ,Y,N,Y,Y,Y,Y,Y,N, , , ,Y,Y, ,Y,Y,Y,N, , ,Y,Y,Y,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,B, ,M,2428f334-3225-4123-ba6c-2381fa2b4ff8,18.95,72.95
1076,48970,48610,MARMAGAO,IN,15.433333,73.8,173,63111/0,S,RN,G,Y,Y,N,Y,N,G,E,J,J,2,L,Y,Y,Y,N,Y,Y,Y, , , ,Y,Y,Y, ,Y,Y,Y,Y,Y,Y,Y, , , , ,Y,Y, , , ,Y, , , , ,Y,Y,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,A,M,M,e18af31d-3552-4236-bd56-956ac69ade6c,15.4333333337664,73.8000000001
1077,48990,48610,KARWAR,IN,14.816667,74.116667,173,63110,V,CB,G,N,Y,N,Y,N,K,M,K, ,2,L,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N, ,Y,Y,N,Y, ,Y,Y,Y, , , ,Y, , , , ,Y, , , , ,Y,Y,Y, , , ,Y,Y,Y, ,Y, , , ,S,85558abf-82a5-4bb6-8eec-02ef700f6d48,14.8166666662337,74.1166666664336
1078,49040,48610,AZHIKAL (AZHIKKAL),IN,11.916667,75.3,173,63200,V,RN,P,N,N,N,Y,N,P,L,P, ,0,M,Y,N,N,N,Y,N,N,N, , , ,N, , ,N,N,N,Y,N,Y,Y,N, , , ,N,N, ,N,Y, , , , , ,Y, , , , , , , , , , , , , , ,f740b16a-5ed1-492e-9bd3-d1b12d41b8de,11.9166666666334,75.2999999998002
1079,49100,48610,CALICUT (KOZHIKODE),IN,11.25,75.766667,173,63200,V,OR,N,N,N,N,Y,N, ,L, , ,1,M,Y,N,Y,N,Y,Y,Y,N, , ,Y,Y, , ,Y,Y,Y,Y,Y,Y,Y,Y, , , ,Y,Y, ,N, , , , , , , , , , , , ,Y,Y,Y,N, , ,C, ,S,87bd1636-303e-4b1f-a0d5-b5e8fd0e3be3,11.2500000001,75.7666666667333
1080,49110,48610,BEYPORE,IN,11.166667,75.8,173,63200,V,OR,F,N,N,N,Y,N,O,K,P, ,1,M,Y,N,Y,N,Y,Y,Y, , , ,Y,Y, , ,Y,Y,Y,Y,Y,Y,Y,Y, , , ,Y,Y, ,N,Y, , , , , ,Y, , , , , ,Y,Y, ,Y, , ,C, ,S,f7f5fd79-e7ee-457c-ab4c-dc31b9c4348e,11.1666666663336,75.7999999997003
1081,49130,48610,KOCHI (COCHIN),IN,9.966667,76.233333,173,63200/1,M,CN,G,N,Y,N,Y,N,G,H,H,B,1,L,Y,Y,Y,N,Y,Y,Y, ,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y, , , ,Y,Y, ,Y,Y,Y,Y, ,Y,Y,Y,Y,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,A,M,M,bed6e7f2-5694-465f-8289-b79028b63c65,9.96666666693317,76.2333333336665
1082,49160,48610,QUILON (KOLLAM),IN,8.883333,76.583333,173,63210,V,CB,G,N,N,N,Y,N,L,H,M, ,1,M,Y,N,N,N,N,Y,Y, , ,N,N,N, , ,Y,Y, ,Y,N,N,Y,N, , , ,Y, , , , , , , , , , , , , , , ,Y,Y,Y, , , ,C, , ,f0e75f90-0792-4298-8912-a41d56805d77,8.8833333333667,76.583333332967
1083,49180,48610,KOLACHEL,IN,8.166667,77.25,173,63210,V,OR,F,N,N,N,Y,N, ,H, , ,1,M,Y,N,N,N,N,N, , , , , ,N, , ,Y,Y, , , , ,N,Y, , , ,Y, , , , , , , , , , , , , , , ,Y, , , , , , , , ,fd46e7e6-3120-4f47-b145-c6dcacad0a03,8.16666666693317,77.2500000003998
1352,48770,48610,MAGDALLA,IN,21.15,72.75,173,63091/80,V,RN,G,Y,Y,N,Y,N,M,J,O, ,5,M, ,N,Y,N,Y,N,Y,Y,Y, , ,Y, , ,Y,Y, , ,Y,Y,Y,Y, , , ,Y,Y, ,N,Y,N, , , , ,Y,Y, , , , , ,Y,Y, , , ,C,S,S,0ffaa063-6f6b-4843-9ce2-b5a96d5da8f8,21.1500000001,72.7500000003998
1353,48790,48610,HAZIRA,IN,21.083333,72.633333,173,63091/80,S,CB,P,Y,Y,N,N,N,H,J,H,H,7,L, ,Y,N,N,Y,Y,Y,Y,Y, ,Y,Y, , ,Y,Y, ,Y,Y,Y, ,Y, , , ,Y,Y, ,N,N,N, , , , , , , , , , , , ,N, , , , , , ,798ec469-16b5-45b6-b198-a761668e92a4,21.0833333332667,72.6333333336665
1357,48900,48610,RATNAGIRI,IN,16.983333,73.283333,173,63100,V,CN,P,Y,Y,N, ,Y,K,K, ,K,3,L, , ,Y,N,Y,N,Y, , ,N,N,Y, , ,Y,Y,Y,Y,N,Y,N,Y, , , ,Y,N, ,N,N,N,N, , , , , , , , , ,Y,Y, , , , , , ,S,0cb936a5-41ab-4126-ae02-14419a67a667,16.9833333333667,73.2833333332668
1358,49170,48610,TRIVANDRUM,IN,8.483333,76.95,173,63210,V,OR,N,N,N,N,Y,N,E,E, , ,1,M,Y,N,Y,N,Y,N,Y, , , , ,Y, , ,N,N,N,Y,Y,Y,Y,Y, , , ,Y, , , , , , , , , , , , , , , ,Y, , , , , , , ,S,cbaad0d4-6fe4-4cf4-a348-c30d0bfd50c7,8.48333333326678,76.9500000001
1462,49030,48610,NEW MANGALORE,IN,12.916667,74.816667,173,63121,M,CB,F,N,N,N,Y,N,G,E,G,G,2,L,Y,Y,Y,N,Y,Y,Y, ,Y, ,Y,Y, , ,Y,Y,Y,Y,Y,Y,Y, , , , ,Y,Y, ,Y,Y,Y, , ,Y,Y,Y, ,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,C, ,S,e86b314c-c163-49c9-96bf-9c15ef74266a,12.9166666664336,74.8166666668333
1469,49454,49310,KAMARAJAR PORT,IN,13.266667,80.316667,173,63271,S,CB,P,Y,Y, , , ,F,F,H,G,1,M, ,Y, , ,Y,Y,Y,Y,Y,Y,Y, , , ,Y,Y,Y, ,Y,Y, , ,Y, , ,Y,Y, ,N, , , , , , , ,Y,Y,Y,Y,Y, ,Y, , ,Y,Y,A, ,M,8f7c5273-767d-4079-aa98-16925a97eda6,13.2666666666334,80.3166666666334
1471,48613,48610,SIKKA,IN,22.433333,69.833333,173,63062,V,OR,P,N,N,N,Y,N,A,G,L,A,5,L,Y,N,Y,N,Y,Y,Y, , , ,Y,Y, , ,Y,Y,Y, ,Y,Y,Y,Y, , , ,N,Y, , , , , , , , , ,Y, , , , , ,Y, , , , ,C, ,S,6ba071c9-b0d9-45c5-9c21-bd12dcc74bf1,22.4333333332668,69.833333332967
1472,48617,48610,MUNDRA,IN,22.733333,69.7,173,63062,S,OR,N,N,N,N,N,N,E,J,F,A,5,L,Y,Y,Y,N,Y,Y,Y, , , ,Y,Y, , ,Y,Y,Y,Y,Y,Y,Y, , , , ,Y,Y, , ,Y, , , , , , ,Y, , , , ,Y,Y,Y,Y, , ,C, ,S,7db13808-e880-44b0-b1d9-cfecaad31868,22.7333333335665,69.7000000001999
1473,48674,48610,DAHEJ,IN,21.7,72.533333,173,63091,V,OR,N,Y, ,N,Y,Y,G,D,G,H,7,L, , ,Y,N,Y,Y,Y, , , ,Y,Y, , ,Y,Y,N,Y,N,Y,Y,Y, , , ,Y, , , , , , , , , , ,Y, , , , , ,Y, , , , ,C, ,S,750a3923-a849-47bd-bd74-24ea07ec35bd,21.6999999999001,72.533333332967
1796,49000,48610,BELEKERI,IN,14.7,74.266667,173,63110,V,OR,N,N,Y,N,Y,N,N,K, , ,0,M,Y,N,Y,N,Y,N,Y, , , , ,Y,N, ,Y, ,N, , ,Y, ,Y, , , ,Y, , , , , , , , , , ,Y, , , , ,N,Y,N,N, , ,C, ,S,95f106c6-a85c-4b1b-9856-1abbbaffc584,14.7000000003998,74.2666666670331
1797,48960,48610,PANAJI,IN,15.5,73.816667,173,63111/0,V,CN,P,N,N,N,N,N,O,G,O, ,2,M,Y, ,Y,N,Y,Y,Y,Y, , , ,Y, , ,Y,Y,Y,Y,Y, , ,Y, , , ,Y,N, ,N,N,N,N, , , , , , , , , ,Y,Y, , , , , , , ,90fa1399-0aec-4c5d-897c-f5af26937d00,15.4999999997003,73.8166666670331
1798,48615,48610,VADINAR TERMINAL,IN,22.516667,69.7,173,63062,V,OR,P,N,N,N,Y,N,A,E,G,A,6,L, ,Y,N,Y,Y,Y,Y, ,Y,Y,Y,Y, , , ,Y,Y,Y, , , , , , , ,Y,N, ,N, ,Y, , , , ,Y, , , , , ,Y,Y, , , , ,C, ,S,caf7363d-9201-4c66-bcd4-b407f34d101a,22.5166666670331,69.7000000001999
2483,49370,49310,KARAIKAL PORT,IN,10.833333,79.866667,173,63260,S,CB,G,N,N,N,N,N,F,J,G, ,1,L,Y,Y,Y,N,Y,Y,Y,Y, , ,Y,Y, , ,Y, ,Y, ,Y,Y,Y, ,N,N,N,Y,Y, , ,Y,Y,N,Y, , , ,Y, , , ,Y,Y,Y,Y,Y,Y,Y,B, ,M,63fc4332-2efa-474b-b0e4-7f6b88191231,10.8333333330669,79.8666666666334
2996,48635,48610,NAVLAKHI,IN,22.95,70.45,173,63065,V,OR,P,Y,N,N,Y,N,J,J, , ,6,L,Y, ,Y,N,Y,Y,Y,Y,Y, ,Y,Y, , ,Y,Y,Y,Y,Y,Y,N,Y, , , ,Y, , , , ,Y,Y, , , ,Y,Y, , , , , ,Y,Y, , , ,C,S,S,95db7a3c-547e-4fd3-8eb1-3dc48d05b5f0,22.9500000001,70.4499999996004
2997,49685,49610,YETAGUN MARINE TERMINAL,MM,13.05,96.85,173,63430,V,OR,P,Y,Y, ,Y, ,A, , ,A,1, , , , , ,Y,Y,Y, ,Y,Y,Y, , ,Y,Y,Y,Y,Y,N, , ,Y,Y, , ,Y,N, ,N, , , , , , , , , , , , , ,N,N,N, , ,N, , ,727076a2-e1df-4ff9-97aa-29f4eea1eedb,13.0500000001,96.8499999999001
3320,48630,48610,KANDLA,IN,23.033333,70.216667,173,63065,S,RN,F,Y,Y,N,Y,N,J,J,J,J,6,L,Y, ,Y,N,Y,Y,Y, , , ,Y,Y,Y, ,Y, ,Y,Y,Y,Y,Y, ,Y, , ,Y, , ,Y,Y,Y, , , ,Y,Y,Y, , ,Y,Y,Y,Y,Y, , , ,B,S,S,3e9adc48-24f3-417f-a6f2-0f87aff1c637,23.033333332967,70.2166666670331
3480,48650,48610,BEDI,IN,22.516667,70.033333,173,63062,V,RN,G,Y, ,N,N,N,G,G, , ,5,L,Y, ,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y, ,Y, , , ,Y,Y, ,N, ,Y, , , , ,Y, ,Y, , ,Y, ,Y,Y, , , ,C,S,S,bdc4664d-e359-4149-aaaf-06cdd59f3643,22.5166666670331,70.0333333334666
3482,48680,48610,PORBANDAR,IN,21.633333,69.6,173,63070,V,CB,F,N,N,N,N,N,H,E,K, ,2,L,Y, ,Y,N,Y,Y,Y, , , ,Y,Y, , ,Y,Y,N,Y,Y,Y,Y, , , , ,Y, , , ,Y, , , ,Y, ,Y,Y, , , , ,Y,Y,Y, , , ,C,S,S,4f71d690-03c4-47e5-932a-14ef75050c70,21.6333333330669,69.6000000003997
